id,x position,y position,Aperture radius,Total aperture flux,Local mean background per pixel,Total background in aperture,Corrected Aperture flux,Error on corrected flux
1440.0,762.0,2506.0,6.0,390799.0,3419.672737560066,386755.0,4044.0,857.0775927534216
1441.0,1825.0,2513.0,18.0,3479992.0,8540.79139424404,8693466.0,-5213474.0,2082.9320680233427
1442.0,891.0,3682.0,6.0,390909.0,3424.0992344148094,387256.0,3653.0,857.4013062737891
1443.0,2278.0,548.0,6.0,389519.0,3416.559268985831,386403.0,3116.0,856.1477676195856
1444.0,2384.0,692.0,19.0,3873873.0,8956.603577439502,10157818.0,-6283945.0,2185.0146452598437
1445.0,1232.0,1356.0,6.0,395754.0,3492.9834832217703,395047.0,707.0,864.23781449321
1446.0,1575.0,1507.0,6.0,397755.0,3509.9135902931707,396961.0,794.0,866.3775158670728
1447.0,1998.0,1764.0,6.0,391868.0,3422.845889237961,387114.0,4754.0,857.8869389377601
1448.0,632.0,2036.0,11.0,1306214.0,5579.624153363837,2120997.0,-814783.0,1366.4329474950464
1449.0,2202.0,2091.0,6.0,390924.0,3421.811382107863,386997.0,3927.0,857.2759182433623
1450.0,1171.0,2111.0,6.0,391094.0,3425.263054936169,387388.0,3706.0,857.5774017545006
1451.0,2168.0,2368.0,20.0,4298659.0,9392.51901938426,11802987.0,-7504328.0,2289.737539544653
1452.0,1069.0,3256.0,17.0,3109875.0,8115.181234864482,7367937.0,-4258062.0,1981.3384365120462
1453.0,1866.0,3767.0,6.0,405018.0,3755.071885758349,424688.0,-19670.0,884.601040017476
1454.0,533.0,4462.0,6.0,391765.0,3426.6855022400528,387549.0,4216.0,858.0518632343851
1455.0,244.0,208.0,15.0,2423942.0,7273.102378149207,5141053.0,-2717111.0,1776.264056946489
1456.0,1755.0,606.0,19.0,3885790.0,8983.281924775281,10188074.0,-6302284.0,2188.3528051938974
1457.0,535.0,741.0,15.0,2422090.0,7275.171392409401,5142515.0,-2720425.0,1775.801227615298
1458.0,721.0,743.0,6.0,392340.0,3431.310942773661,388072.0,4268.0,858.657673348349
1459.0,2109.0,850.0,6.0,400185.0,3582.31914221604,405150.0,-4965.0,871.9627285612614
1460.0,1280.0,990.0,20.0,4321276.0,9444.890942845437,11868800.0,-7547524.0,2295.817937032464
1461.0,1175.0,1184.0,18.0,3517589.0,8617.205661296035,8771247.0,-5253658.0,2093.772910322416
1462.0,1389.0,1226.0,6.0,397516.0,3515.6332210605356,397608.0,-92.0,866.5714050209596
1463.0,1605.0,1398.0,6.0,397560.0,3513.9123582383545,397414.0,146.0,866.496970565968
1464.0,1663.0,1730.0,6.0,400513.0,3627.8175615724354,410296.0,-9783.0,874.7691123948078
1465.0,582.0,2333.0,6.0,390833.0,3422.3883187765714,387063.0,3770.0,857.2566710151633
1466.0,142.0,2645.0,6.0,393650.0,3436.3243234810557,388639.0,5011.0,859.7133243122385
1467.0,1687.0,2875.0,6.0,389943.0,3416.201170363874,386363.0,3580.0,856.3743340385676
1468.0,1018.0,2997.0,20.0,4300735.0,9393.086008869026,11803700.0,-7502965.0,2290.203266087969
1469.0,834.0,4194.0,19.0,3888436.0,8984.943104493803,10189958.0,-6301522.0,2188.9954316992075
1470.0,328.0,306.0,16.0,2752715.0,7685.860775874094,6181336.0,-3428621.0,1877.6000639113752
1471.0,2032.0,379.0,17.0,3100723.0,8101.324807631543,7355357.0,-4254634.0,1978.6755671408084
1472.0,521.0,962.0,20.0,4302627.0,9419.535570974109,11836937.0,-7534310.0,2291.1966305841147
1473.0,2218.0,1094.0,6.0,392733.0,3432.415080191361,388197.0,4536.0,858.9511045455381
1474.0,2356.0,1257.0,15.0,2420360.0,7278.652906789536,5144976.0,-2724616.0,1775.4126280952269
1475.0,1297.0,1292.0,6.0,397998.0,3520.9350701022845,398208.0,-210.0,867.1568485573991
1476.0,2232.0,1322.0,6.0,398065.0,3532.9114795699497,399562.0,-1497.0,867.8893938745881
1477.0,1342.0,1548.0,6.0,397592.0,3514.4495061712896,397474.0,118.0,866.5465942463798
1478.0,2266.0,1615.0,6.0,390922.0,3420.000994630193,386793.0,4129.0,857.168594851678
1479.0,1973.0,2889.0,6.0,389591.0,3414.6096209329553,386183.0,3408.0,856.0753471511722
1480.0,1863.0,3296.0,6.0,390969.0,3417.673353587474,386529.0,4440.0,857.0595078522845
1481.0,1927.0,3336.0,6.0,391369.0,3420.0208889980795,386795.0,4574.0,857.4304636528842
1482.0,838.0,3445.0,6.0,398016.0,3544.7585756463527,400902.0,-2886.0,868.5470626281572
1483.0,1156.0,3748.0,17.0,3113259.0,8133.155796249922,7384257.0,-4270998.0,1982.6479768229156
1484.0,340.0,1319.0,6.0,390950.0,3422.6270511912094,387090.0,3860.0,857.3389061508873
1485.0,2456.0,1363.0,6.0,391528.0,3420.000994630193,386793.0,4735.0,857.5220113792998
1486.0,1368.0,1543.0,6.0,399858.0,3536.6615679165525,399987.0,-129.0,869.138654070799
1487.0,1399.0,1569.0,6.0,397644.0,3517.9210733674818,397867.0,-223.0,866.7779415744266
1488.0,906.0,1704.0,6.0,392594.0,3441.8450105695556,389263.0,3331.0,859.4218987202968
1489.0,690.0,2349.0,6.0,405453.0,3881.2220725265624,438955.0,-33502.0,891.9843047946528
1490.0,706.0,2361.0,6.0,403998.0,3804.8973301300553,430323.0,-26325.0,886.8528626553561
1491.0,1976.0,2763.0,6.0,389625.0,3415.1965047856065,386249.0,3376.0,856.1296630768029
1492.0,2399.0,3521.0,6.0,398935.0,3681.8705591200205,416409.0,-17474.0,876.9703529766557
1493.0,806.0,3522.0,19.0,3881763.0,8971.424881514935,10174627.0,-6292864.0,2187.1600307247754
1494.0,1550.0,131.0,15.0,2418075.0,7260.628609484379,5132235.0,-2714160.0,1774.2584366433205
1495.0,1901.0,428.0,6.0,392155.0,3422.706628662755,387099.0,5056.0,858.046036061003
1496.0,2325.0,698.0,6.0,391268.0,3422.6767871109255,387095.0,4173.0,857.5272590419502
1497.0,1793.0,1307.0,15.0,2433761.0,7309.837328451605,5167019.0,-2733258.0,1780.0634820140544
1498.0,2288.0,1313.0,6.0,398285.0,3534.0653529073657,399693.0,-1408.0,868.0829453456622
1499.0,1612.0,1326.0,13.0,1856014.0,6548.211295469282,3476636.0,-1620622.0,1585.6582229471771
1500.0,1206.0,1395.0,10.0,1094216.0,5219.725091113346,1639825.0,-545609.0,1272.3835899601975
1501.0,1711.0,1550.0,6.0,393593.0,3447.465169497488,389899.0,3694.0,860.3313315229198
1502.0,1288.0,1566.0,10.0,1095026.0,5223.63433440304,1641053.0,-546027.0,1272.8562369725812
1503.0,1663.0,1758.0,6.0,400993.0,3621.3916807451,409569.0,-8576.0,874.6742250689682
1504.0,1000.0,1822.0,6.0,399895.0,3571.944229363237,403977.0,-4082.0,871.198025709425
